year,column,observed,total,percent
2006,DURECEC,0,19604,0.0
2009,DURECEC,0,25887,0.0
2012,DURECEC,0,25313,0.0
2015,DURECEC,6200,6736,92.0
2018,DURECEC,30664,35943,85.3
2022,DURECEC,25225,30800,81.9
2025,DURECEC,0,29966,0.0
2000,EFFORT1,0,6214,0.0
2003,EFFORT1,0,10791,0.0
2006,EFFORT1,0,19604,0.0
2009,EFFORT1,0,25887,0.0
2012,EFFORT1,0,25313,0.0
2015,EFFORT1,0,6736,0.0
2018,EFFORT1,29988,35943,83.4
2022,EFFORT1,26806,30800,87.0
2025,EFFORT1,28866,29966,96.3
2000,EFFSCIE,0,6214,0.0
2003,EFFSCIE,0,10791,0.0
2006,EFFSCIE,0,19604,0.0
2009,EFFSCIE,0,25887,0.0
2012,EFFSCIE,0,25313,0.0
2015,EFFSCIE,0,6736,0.0
2018,EFFSCIE,0,35943,0.0
2022,EFFSCIE,0,30800,0.0
2025,EFFSCIE,27007,29966,90.1
2000,ELAB,0,6214,0.0
2003,ELAB,10696,10791,99.1
2006,ELAB,0,19604,0.0
2009,ELAB,25612,25887,98.9
2012,ELAB,0,25313,0.0
2015,ELAB,0,6736,0.0
2018,ELAB,0,35943,0.0
2022,ELAB,0,30800,0.0
2025,ELAB,0,29966,0.0
2000,EMOCOAGR,0,6214,0.0
2003,EMOCOAGR,0,10791,0.0
2006,EMOCOAGR,0,19604,0.0
2009,EMOCOAGR,0,25887,0.0
2012,EMOCOAGR,0,25313,0.0
2015,EMOCOAGR,0,6736,0.0
2018,EMOCOAGR,0,35943,0.0
2022,EMOCOAGR,28713,30800,93.2
2025,EMOCOAGR,0,29966,0.0
2000,EMOSUPS,0,6214,0.0
2003,EMOSUPS,0,10791,0.0
2006,EMOSUPS,0,19604,0.0
2009,EMOSUPS,0,25887,0.0
2012,EMOSUPS,0,25313,0.0
2015,EMOSUPS,6545,6736,97.2
2018,EMOSUPS,28087,35943,78.1
2022,EMOSUPS,0,30800,0.0
2025,EMOSUPS,0,29966,0.0
